Timestamp,age_group,gender,current_country,reason_current_country,marital_status,dependents,education_level,field_of_study,employment_status,experience_years,remote_work,languages_raw,relocation_intent,relocation_goal,budget_band,visa_budget_ability,preferred_regions,cultural_preference,passport_status_raw,visa_preference,support_needed,special_needs,budget_estimated_usd,passport_status,remote_capable,languages_clean
2025-11-25 22:07:44.039,25-34,Female,United Arab Emirates,For employment opportunities,Single,0,Bachelor's Degree,Medicine/Healthcare,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, German",Yes,Employment,"$1,000–2,500",Partially able,"East Africa (Kenya, Ethiopia, Uganda), Europe",No strong preference,"Yes, and it is valid",Only countries with sponsorship opportunities,Job placement,Yes,1750,Valid,True,"arabic, english, german"
2025-11-25 22:11:46.631,25-34,Female,Kenya,To join family members,Married (without children),2,Bachelor's Degree,Medicine/Healthcare,Unemployed (looking for work),0-1,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Yes,Live with my husband ,"$500–1,000",Yes,UK / Ireland,Prefer African countries,"Yes, and it is valid",Willing to go through long visa process,Job placement,No,750,Valid,False,"arabic, english"
2025-11-25 22:13:07.743,25-34,Male,Saudi Arabia,For employment opportunities,Married (without children),5+,Bachelor's Degree,Engineering,Employed full-time,5-7,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Permanent long-term settlement,"$2,500–5,000",Yes,"Gulf countries (UAE, Saudi, Qatar), UK / Ireland",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Legal/immigration support,No,3750,Valid,True,"arabic, english"
2025-11-25 23:21:02.283,25-34,Male,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,$200–500,Yes,"Gulf countries (UAE, Saudi, Qatar), UK / Ireland",Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Job placement,No,350,Valid,True,"arabic, english"
2025-11-25 23:32:21.315,25-34,Female,Qatar,Already living here before the war,Single,0,Bachelor's Degree,Medicine/Healthcare,Unemployed (looking for work),0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Education,<$200,Partially able,"Europe, UK / Ireland, Canada, USA",Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Housing assistance,No,150,Valid,True,"arabic, english"
2025-11-25 23:32:53.172,25-34,Male,Japan ,"For education (school, university, training)",Married (without children),1,Master's Degree,Engineering,Employed part-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, Japanese ",Yes,Employment,"$1,000–2,500",Yes,"Gulf countries (UAE, Saudi, Qatar), UK / Ireland, USA",Prefer Western countries,"Yes, and it is valid",Easy visa required,Job placement,No,1750,Valid,True,"arabic, english, japanese "
2025-11-26 00:25:53.377,18-24,Male,Sudan,Already living here before the war,Single,0,Bachelor's Degree,IT/Computer Science,Employed part-time,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Start or expand a business,$200–500,Partially able,"UK / Ireland, USA",Prefer Arabic-speaking countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Legal/immigration support,Prefer not to say,350,Valid,True,"arabic, english"
2025-11-26 00:34:35.303,18-24,Female,United Arab Emirates,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Business/Finance,Unemployed (looking for work),0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",No,Education,"$2,500–5,000",No,"Europe, UK / Ireland, Canada",Prefer Western countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Scholarship / education funding,No,3750,Valid,True,"arabic, english"
2025-11-26 00:41:35.753,25-34,Female,United Arab Emirates,For employment opportunities,Single,3-4,Master's Degree,Medicine/Healthcare,Employed full-time,5-7,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Permanent long-term settlement,"$1,000–2,500",No,"North Africa (Egypt, Libya, Tunisia)",Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,Job placement,No,1750,Valid,True,"arabic, english"
2025-11-26 00:47:00.902,25-34,Male,Sudan,Already living here before the war,Single,0,Bachelor's Degree,Engineering,Unemployed (looking for work),0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,"$500–1,000",Partially able,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Job placement,No,750,Valid,True,"arabic, english"
2025-11-26 00:58:04.250,25-34,Male,United Arab Emirates,Fled the war / seeking safety,Single,2,Secondary School,Business/Finance,Self-employed / Entrepreneur,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Temporary relocation until returning to Sudan,"$1,000–2,500",No,Anywhere / No preference,No strong preference,"Yes, and it is valid",Easy visa required,Medical support,Yes,1750,Valid,True,"arabic, english"
2025-11-26 01:24:14.106,25-34,Female,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Engineering,Unemployed (looking for work),2-4,I have a laptop and skills to work remotely (freelance/online),Arabic,Yes,Start or expand a business,$200–500,No,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,Job placement,Prefer not to say,350,Valid,True,arabic
2025-11-26 02:17:55.648,18-24,Male,Egypt,To join family members,Single,5+,Bachelor's Degree,Engineering,Unemployed (looking for work),0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Start or expand a business,"$1,000–2,500",No,Anywhere / No preference,Prefer Arabic-speaking countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Job placement,Yes,1750,Valid,True,"arabic, english"
2025-11-26 02:23:23.397,25-34,Female,United Arab Emirates,Fled the war / seeking safety,Single,5+,Bachelor's Degree,Business/Finance,Unemployed (looking for work),0-1,"I rely on physical/local labor (construction, retail, medical, etc.)",Arabic,Yes,Employment,"$500–1,000",No,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,Housing assistance,No,750,Valid,False,arabic
2025-11-26 02:24:31.575,25-34,Female,Egypt,Fled the war / seeking safety,Single,5+,Bachelor's Degree,Engineering,Employed full-time,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, Turkish ",Yes,Permanent long-term settlement,$200–500,No,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,350,Valid,True,"arabic, english, turkish "
2025-11-26 02:40:20.809,18-24,Male,India ,"For education (school, university, training)",Single,0,Bachelor's Degree,Business/Finance,Student,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Education,$200–500,No,"Gulf countries (UAE, Saudi, Qatar), Europe, Canada, USA, Asia (Malaysia, China)",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,350,Valid,True,"arabic, english"
2025-11-26 02:47:38.278,25-34,Male,Sudan,For employment opportunities,Single,0,Bachelor's Degree,Business/Finance,Employed full-time,5-7,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,$200–500,Yes,"Gulf countries (UAE, Saudi, Qatar), Europe, UK / Ireland",No strong preference,"Yes, and it is valid",Easy visa required,Job placement,No,350,Valid,True,"arabic, english"
2025-11-26 03:32:49.315,18-24,Female,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Medicine/Healthcare,Student,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Permanent long-term settlement,"$500–1,000",No,"Canada, USA",Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Medical support,Yes,750,Valid,True,"arabic, english"
2025-11-26 07:27:02.558,18-24,Male,Sudan,,Single,5+,Bachelor's Degree,Engineering,Student,5-7,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,,$200–500,Partially able,"Gulf countries (UAE, Saudi, Qatar), North Africa (Egypt, Libya, Tunisia)",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Job placement,Prefer not to say,350,Valid,True,"arabic, english"
2025-11-26 10:25:00.704,25-34,Male,United Arab Emirates,For employment opportunities,Single,3-4,Bachelor's Degree,Engineering,Employed full-time,2-4,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Not sure yet,Improve safety and stability,"$2,500–5,000",Partially able,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Medical support,Prefer not to say,3750,Valid,False,"arabic, english"
2025-11-26 11:19:43.714,25-34,Female,Saudi Arabia,Fled the war / seeking safety,Single,1,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Employment,"$1,000–2,500",Partially able,"Gulf countries (UAE, Saudi, Qatar), Europe, UK / Ireland, USA, Asia (Malaysia, China), Anywhere / No preference",No strong preference,"Yes, and it is valid",Only countries with sponsorship opportunities,,No,1750,Valid,True,"arabic, english"
2025-11-26 11:47:40.894,25-34,Male,Saudi Arabia,For employment opportunities,Single,2,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,,"$500–1,000",Yes,UK / Ireland,Prefer African countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Job placement,Prefer not to say,750,Valid,True,"arabic, english"
2025-11-26 12:49:47.172,25-34,Male,United Arab Emirates,Fled the war / seeking safety,Single,2,Bachelor's Degree,Engineering,Employed full-time,0-1,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Yes,Permanent long-term settlement,"$500–1,000",No,Europe,No strong preference,"Yes, and it is valid",Only countries with sponsorship opportunities,Scholarship / education funding,Yes,750,Valid,False,"arabic, english"
2025-11-26 13:12:30.655,25-34,Female,Turkey,Already living here before the war,Single,5+,Master's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Permanent long-term settlement,$200–500,Yes,"Gulf countries (UAE, Saudi, Qatar), Europe, UK / Ireland, Canada",Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Job placement,No,350,Valid,True,"arabic, english"
2025-11-26 13:28:06.494,18-24,Female,Germany ,"For education (school, university, training)",Single,0,Bachelor's Degree,Engineering,Student,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, German",No,Not seeking to relocate,"$500–1,000",Partially able,Europe,No strong preference,"Yes, and it is valid",Easy visa required,Scholarship / education funding,No,750,Valid,True,"arabic, english, german"
2025-11-26 14:13:13.592,25-34,Male,Sudan,"For education (school, university, training)",Single,3-4,Bachelor's Degree,Engineering,Student,8-10,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Yes,Education,"$500–1,000",Yes,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,Scholarship / education funding,No,750,Valid,False,"arabic, english"
2025-11-26 17:58:48.724,25-34,Male,Egypt,Fled the war / seeking safety,Single,5+,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Education,$200–500,Partially able,"Europe, UK / Ireland, Canada, USA",Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,350,Valid,True,"arabic, english"
2025-11-26 18:21:02.464,25-34,Male,Saudi Arabia,For employment opportunities,Single,0,Bachelor's Degree,Engineering,Employed full-time,0-1,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Not sure yet,Not seeking to relocate,"$500–1,000",Partially able,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Job placement,No,750,Valid,False,"arabic, english"
2025-11-26 18:25:49.805,25-34,Female,Saudi Arabia,Already living here before the war,Single,3-4,Bachelor's Degree,Medicine/Healthcare,Student,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, German",Yes,Employment,"$2,500–5,000",Partially able,Europe,No strong preference,"Yes, and it is valid",Only countries with sponsorship opportunities,Scholarship / education funding,No,3750,Valid,True,"arabic, german"
2025-11-26 19:13:37.249,25-34,Male,Saudi Arabia,For employment opportunities,Single,3-4,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,"$1,000–2,500",Yes,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,Job placement,No,1750,Valid,True,"arabic, english"
2025-11-26 19:19:31.500,18-24,Female,Azerbaijan ,"For education (school, university, training)",Single,0,Master's Degree,Business/Finance,Student,5-7,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, Basic Azerbaijan and Turkish ",Not sure yet,Permanent long-term settlement,"$500–1,000",Yes,"Europe, Canada",Prefer Western countries,"Yes, and it is valid",Easy visa required,Job placement,No,750,Valid,True,"arabic, english, basic azerbaijan and turkish "
2025-11-26 19:38:33.670,25-34,Female,United Kingdom ,For employment opportunities,Single,0,Bachelor's Degree,Medicine/Healthcare,Employed full-time,2-4,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Not sure yet,,"$1,000–2,500",Partially able,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,Job placement,No,1750,Valid,False,"arabic, english"
2025-11-26 19:41:32.324,25-34,Female,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Engineering,Unemployed (looking for work),0-1,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Yes,Temporary relocation until returning to Sudan,"$500–1,000",No,UK / Ireland,Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,750,Valid,False,"arabic, english"
2025-11-26 20:39:08.908,18-24,Female,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Engineering,Unemployed (looking for work),0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, Spanish",Not sure yet,Employment,"$500–1,000",No,Europe,Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,750,Valid,True,"arabic, english, spanish"
2025-11-26 21:33:06.128,18-24,Male,Sudan,"For education (school, university, training)",Single,0,Bachelor's Degree,Business/Finance,Student,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",No,Not seeking to relocate,<$200,Yes,Anywhere / No preference,Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,,Prefer not to say,150,Valid,True,"arabic, english"
2025-11-26 22:42:22.959,18-24,Female,Saudi Arabia,Fled the war / seeking safety,Single,5+,Technical Training/Diploma,Engineering,Unemployed (looking for work),2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,$200–500,Partially able,"East Africa (Kenya, Ethiopia, Uganda), Europe, UK / Ireland, USA, Anywhere / No preference",Prefer African countries,"Yes, and it is valid",Easy visa required,Job placement,Yes,350,Valid,True,"arabic, english"
2025-11-27 02:57:49.949,25-34,Female,United Arab Emirates,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Medicine/Healthcare,Unemployed (looking for work),0-1,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Not sure yet,Employment,"$2,500–5,000",Partially able,"Gulf countries (UAE, Saudi, Qatar), UK / Ireland",No strong preference,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,3750,Valid,False,"arabic, english"
2025-11-27 03:18:26.500,18-24,Female,Egypt,Fled the war / seeking safety,Single,5+,Bachelor's Degree,Arts,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, French",No,Employment,$200–500,Yes,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,350,Valid,True,"arabic, english, french"
2025-11-27 04:03:58.836,18-24,Female,Egypt,Fled the war / seeking safety,Single,5+,Bachelor's Degree,Engineering,Unemployed (looking for work),0-1,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",No,Education,$200–500,Yes,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,Scholarship / education funding,Yes,350,Valid,False,"arabic, english"
2025-11-27 06:59:31.924,25-34,Female,United Arab Emirates,"For education (school, university, training)",Single,3-4,Bachelor's Degree,Engineering,Unemployed (looking for work),0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,,"$1,000–2,500",,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,,Only countries with sponsorship opportunities,Scholarship / education funding,No,1750,None,True,"arabic, english"
2025-11-27 07:28:42.501,25-34,Male,Qatar,Already living here before the war,Single,0,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Education,"$500–1,000",Partially able,"Gulf countries (UAE, Saudi, Qatar), Europe, UK / Ireland",No strong preference,"Yes, and it is valid",Only countries with sponsorship opportunities,Job placement,No,750,Valid,True,"arabic, english"
2025-11-27 23:19:46.637,25-34,Female,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Medicine/Healthcare,Unemployed (not seeking work),0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, German",Not sure yet,Employment,$200–500,Yes,"Europe, UK / Ireland, USA",No strong preference,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,350,Valid,True,"arabic, english, german"
2025-11-27 23:27:10.626,25-34,Female,Egypt,"For education (school, university, training)",Single,3-4,Bachelor's Degree,Medicine/Healthcare,Unemployed (looking for work),0-1,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Not sure yet,Not seeking to relocate,"$500–1,000",No,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Only countries with sponsorship opportunities,,No,750,Valid,False,"arabic, english"
2025-11-28 14:18:37.485,25-34,Female,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Medicine/Healthcare,Student,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,$200–500,Partially able,"Gulf countries (UAE, Saudi, Qatar), Canada",No strong preference,"Yes, and it is valid",Easy visa required,Job placement,No,350,Valid,True,"arabic, english"
2025-11-28 15:12:07.159,25-34,Male,Sudan,Already living here before the war,Single,5+,Bachelor's Degree,Engineering,Employed full-time,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,$200–500,Yes,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,350,Valid,True,"arabic, english"
2025-11-29 19:27:25.686,25-34,Male,Qatar,For employment opportunities,Single,0,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",No,,"$500–1,000",Partially able,Europe,Prefer African countries,"Yes, and it is valid",Easy visa required,,No,750,Valid,True,"arabic, english"
